Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Oct ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,72 ,62.8 ,54 ,53 ,46.3 ,40 ,78 ,56.3 ,37 ,14 ,4.8 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
2 ,76 ,61.9 ,53 ,53 ,47.4 ,43 ,86 ,61.3 ,31 ,18 ,5.8 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
3 ,73 ,62.3 ,53 ,47 ,33.6 ,0 ,72 ,43.9 ,21 ,23 ,10.4 ,3 ,30.0 ,29.9 ,29.9 ,0.00 
4 ,81 ,69.7 ,59 ,33 ,25.9 ,23 ,38 ,20.2 ,12 ,17 ,6.7 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
5 ,85 ,67.4 ,52 ,37 ,29.2 ,0 ,50 ,29.2 ,11 ,10 ,3.0 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
6 ,83 ,67.5 ,52 ,40 ,30.4 ,0 ,50 ,31.6 ,14 ,10 ,4.0 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
7 ,81 ,66.3 ,56 ,47 ,35.8 ,24 ,64 ,36.2 ,12 ,15 ,5.1 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
8 ,74 ,60.6 ,51 ,49 ,44.2 ,39 ,83 ,57.3 ,28 ,14 ,6.0 ,0 ,29.8 ,29.8 ,29.7 ,0.00 
9 ,67 ,58.4 ,52 ,48 ,45.1 ,41 ,86 ,63.8 ,40 ,12 ,6.2 ,0 ,29.7 ,29.6 ,29.6 ,0.00 
10 ,73 ,59.6 ,51 ,51 ,45.6 ,37 ,84 ,62.9 ,30 ,14 ,6.6 ,0 ,30.0 ,29.8 ,29.7 ,0.00 
11 ,67 ,55.9 ,48 ,51 ,48.6 ,46 ,93 ,78.3 ,52 ,14 ,5.6 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
12 ,70 ,55.9 ,46 ,50 ,46.4 ,42 ,100 ,73.1 ,42 ,17 ,4.0 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
13 ,72 ,58.5 ,48 ,47 ,44.1 ,41 ,90 ,62.5 ,33 ,16 ,5.6 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
14 ,77 ,62.0 ,49 ,45 ,40.8 ,35 ,74 ,50.1 ,22 ,13 ,4.1 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
15 ,79 ,63.6 ,50 ,44 ,30.8 ,0 ,67 ,42.5 ,18 ,15 ,5.4 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
16 ,81 ,65.4 ,51 ,42 ,35.9 ,33 ,57 ,36.5 ,18 ,12 ,3.2 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
17 ,80 ,64.2 ,49 ,45 ,36.1 ,30 ,59 ,38.6 ,16 ,12 ,3.8 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
18 ,78 ,61.2 ,50 ,53 ,42.2 ,34 ,84 ,53.3 ,22 ,12 ,2.7 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
19 ,78 ,61.6 ,50 ,54 ,48.2 ,44 ,83 ,64.8 ,30 ,8 ,2.4 ,0 ,30.0 ,30.0 ,29.9 ,0.00 
20 ,73 ,57.6 ,51 ,54 ,50.7 ,43 ,100 ,81.1 ,34 ,9 ,2.3 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
21 ,70 ,57.5 ,52 ,55 ,51.7 ,49 ,100 ,83.0 ,47 ,8 ,2.5 ,0 ,29.9 ,29.9 ,29.9 ,0.00 
22 ,71 ,57.1 ,51 ,55 ,52.0 ,49 ,100 ,85.3 ,45 ,9 ,2.5 ,0 ,30.0 ,29.9 ,29.9 ,0.00 
23 ,65 ,55.6 ,52 ,53 ,52.0 ,51 ,100 ,88.2 ,61 ,12 ,3.5 ,0 ,29.9 ,29.9 ,29.8 ,0.00 
24 ,59 ,54.1 ,50 ,52 ,49.5 ,47 ,100 ,84.9 ,69 ,6 ,2.1 ,0 ,30.1 ,30.0 ,29.9 ,0.00 
25 ,69 ,56.5 ,48 ,53 ,48.9 ,46 ,93 ,77.6 ,47 ,9 ,2.0 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
26 ,74 ,59.3 ,47 ,52 ,48.1 ,44 ,93 ,70.1 ,34 ,9 ,2.3 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
27 ,63 ,54.9 ,50 ,52 ,48.2 ,45 ,100 ,79.2 ,56 ,28 ,7.0 ,0 ,30.0 ,29.9 ,29.7 ,0.00 
28 ,63 ,56.7 ,53 ,47 ,44.3 ,40 ,77 ,64.2 ,43 ,17 ,8.8 ,0 ,29.8 ,29.7 ,29.6 ,0.00 
29 ,62 ,56.0 ,50 ,49 ,45.9 ,44 ,89 ,69.8 ,53 ,12 ,5.8 ,0 ,30.0 ,29.9 ,29.8 ,0.00 
30 ,67 ,54.1 ,44 ,48 ,44.2 ,41 ,93 ,71.7 ,40 ,14 ,4.8 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
31 ,71 ,57.3 ,45 ,46 ,43.1 ,40 ,90 ,63.0 ,32 ,9 ,3.4 ,0 ,30.1 ,30.1 ,30.0 ,0
