Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Jul,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,74,63.2,55,56,53.2,50,84,71.1,52,14,6.2,0,29.9,29.9,29.8,0
2,80,65.4,56,60,54.7,52,87,70.1,40,16,9,0,29.9,29.9,29.8,0
3,82,67.3,56,61,55.9,53,90,68.7,48,15,7.9,0,29.9,29.9,29.9,0
4,78,66.4,58,60,57.1,54,90,73.4,52,18,7,0,30,29.9,29.9,0
5,75,65.5,59,59,57,55,90,74.9,55,14,7,0,30,30,29.9,0
6,86,69.5,59,58,52.8,44,93,61.3,23,14,7.2,0,30,30,29.9,0
7,93,76.2,62,58,52.5,44,80,49.2,19,17,7.5,0,30,29.9,29.9,0
8,97,78.2,66,60,52.2,31,75,46.7,10,16,6.4,0,29.9,29.9,29.8,0
9,84,68.8,59,60,57.1,55,90,69,42,13,6.9,0,29.9,29.9,29.8,0
10,83,69.7,59,60,57.1,54,87,66,46,16,6.6,0,29.9,29.8,29.8,0
11,83,69.9,59,59,55.3,53,87,62.2,39,14,7.4,0,29.9,29.8,29.8,0
12,79,68.4,58,59,55,50,84,64.3,36,14,7.3,0,29.9,29.9,29.8,0
13,81,68.8,57,61,55.5,53,87,64.7,40,15,7.9,0,30,29.9,29.9,0
14,84,69.8,59,61,56.6,53,90,65.8,41,14,6.8,0,30,29.9,29.9,0
15,93,74,59,62,57.4,52,90,60.5,31,14,5.2,0,30,29.9,29.9,0
16,96,79.1,67,62,54.6,39,81,48.2,16,17,6.5,0,29.9,29.8,29.8,0
17,84,73,63,58,55.5,52,80,56.4,35,13,7.5,0,29.9,29.8,29.8,0
18,74,65.5,58,56,54.6,53,87,68.9,53,14,9,3,30,29.9,29.9,0
19,79,66.8,57,57,54.3,53,87,66.8,42,17,6.9,0,30,29.9,29.9,0
20,77,68,59,58,54.6,53,83,63.7,46,14,6.4,0,30,30,29.9,0
21,80,67.2,58,56,54,51,84,64.5,43,14,6.4,0,30,29.9,29.9,0
22,92,73.9,58,61,54.8,53,84,55.3,27,13,4.6,0,29.9,29.8,29.8,0
23,86,73,63,61,57.5,52,87,60.4,36,15,5.5,0,29.8,29.8,29.7,0
24,86,70.6,58,58,53.8,50,90,59.5,29,22,8.5,0,29.8,29.8,29.7,0
25,80,68.5,60,60,56.6,53,83,67.1,46,15,9.5,0,29.9,29.9,29.8,0
26,81,68.7,62,61,58.3,56,90,70.8,43,14,6.6,0,30,29.9,29.9,0
27,89,70.6,61,61,58.1,51,90,68.7,29,13,5.1,0,29.9,29.9,29.8,0
28,79,68.7,61,61,58.7,56,90,72.1,52,13,6.8,0,29.9,29.9,29.8,0
29,80,67.6,59,61,57.1,54,87,70.6,46,14,6,0,30,29.9,29.9,0
30,80,66.9,57,61,57.1,53,90,72.6,48,12,7,0,30,30,29.9,0
31,82,68.4,60,61,58.1,55,93,71.5,45,14,5.4,0,30,29.9,29.9,0
