Time,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Jan ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Max ,Avg ,Min ,Total 
1 ,67 ,50.3 ,37 ,43 ,39.3 ,36 ,93 ,69.2 ,37 ,8 ,1.5 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
2 ,57 ,49.6 ,43 ,48 ,43.8 ,39 ,90 ,80.6 ,67 ,10 ,3.1 ,0 ,30.3 ,30.2 ,30.1 ,0.00 
3 ,57 ,47.9 ,42 ,48 ,45.6 ,41 ,100 ,92.1 ,69 ,6 ,0.5 ,0 ,30.3 ,30.3 ,30.2 ,0.00 
4 ,64 ,51.3 ,40 ,46 ,42.4 ,38 ,96 ,74.5 ,45 ,8 ,1.6 ,0 ,30.4 ,30.3 ,30.2 ,0.00 
5 ,65 ,51.9 ,41 ,48 ,42.3 ,38 ,93 ,72.6 ,43 ,10 ,4.5 ,0 ,30.3 ,30.2 ,30.1 ,0.00 
6 ,58 ,46.2 ,37 ,46 ,40.3 ,35 ,93 ,81.0 ,53 ,9 ,2.8 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
7 ,67 ,51.8 ,38 ,42 ,30.8 ,15 ,93 ,55.7 ,14 ,17 ,6.4 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
8 ,67 ,55.5 ,44 ,27 ,21.9 ,16 ,46 ,28.5 ,16 ,10 ,3.4 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
9 ,66 ,49.5 ,38 ,38 ,30.0 ,25 ,65 ,49.6 ,21 ,7 ,1.5 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
10 ,62 ,48.8 ,37 ,40 ,29.6 ,0 ,76 ,60.5 ,38 ,6 ,1.8 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
11 ,66 ,49.3 ,38 ,36 ,32.6 ,0 ,86 ,59.3 ,28 ,6 ,1.4 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
12 ,64 ,49.6 ,38 ,36 ,19.9 ,0 ,76 ,53.8 ,29 ,7 ,2.0 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
13 ,67 ,50.3 ,38 ,36 ,27.2 ,0 ,73 ,51.6 ,23 ,5 ,1.0 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
14 ,63 ,49.2 ,38 ,36 ,27.1 ,0 ,76 ,55.1 ,30 ,9 ,1.5 ,0 ,30.1 ,30.1 ,30.0 ,0.00 
15 ,56 ,45.1 ,37 ,43 ,27.8 ,0 ,82 ,68.1 ,54 ,16 ,4.8 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
16 ,52 ,42.1 ,34 ,30 ,23.0 ,7 ,73 ,50.3 ,16 ,10 ,5.1 ,0 ,30.3 ,30.2 ,30.1 ,0.00 
17 ,52 ,41.0 ,31 ,36 ,26.4 ,22 ,79 ,58.2 ,32 ,10 ,5.3 ,0 ,30.4 ,30.3 ,30.3 ,0.00 
18 ,56 ,43.1 ,32 ,38 ,31.3 ,0 ,85 ,68.1 ,47 ,12 ,3.7 ,0 ,30.4 ,30.3 ,30.2 ,0.00 
19 ,51 ,44.8 ,36 ,47 ,35.8 ,27 ,89 ,72.5 ,44 ,13 ,7.4 ,3 ,30.2 ,30.1 ,30.0 ,0.00 
20 ,59 ,55.2 ,50 ,55 ,50.7 ,46 ,94 ,85.3 ,72 ,20 ,12.8 ,8 ,30.0 ,29.9 ,29.7 ,0.00 
21 ,58 ,52.4 ,42 ,55 ,43.4 ,0 ,94 ,74.5 ,0 ,18 ,10.4 ,0 ,30.1 ,29.9 ,29.7 ,0.00 
22 ,55 ,49.2 ,42 ,47 ,40.1 ,36 ,89 ,71.6 ,54 ,22 ,11.9 ,3 ,30.1 ,30.0 ,29.8 ,0.00 
23 ,57 ,53.6 ,50 ,55 ,38.3 ,0 ,100 ,64.5 ,0 ,18 ,11.5 ,3 ,30.1 ,29.8 ,29.7 ,0.00 
24 ,61 ,52.8 ,49 ,46 ,44.4 ,41 ,83 ,73.7 ,48 ,12 ,4.1 ,0 ,30.4 ,30.3 ,30.1 ,0.00 
25 ,66 ,52.7 ,43 ,54 ,46.3 ,41 ,93 ,79.7 ,56 ,9 ,3.0 ,0 ,30.4 ,30.3 ,30.3 ,0.00 
26 ,66 ,57.1 ,53 ,55 ,53.9 ,51 ,100 ,89.0 ,68 ,14 ,4.7 ,0 ,30.3 ,30.3 ,30.2 ,0.00 
27 ,66 ,53.4 ,48 ,52 ,42.0 ,16 ,100 ,75.6 ,15 ,16 ,7.4 ,0 ,30.2 ,30.2 ,30.1 ,0.00 
28 ,66 ,51.0 ,39 ,36 ,28.8 ,23 ,66 ,45.4 ,21 ,8 ,2.3 ,0 ,30.3 ,30.2 ,30.2 ,0.00 
29 ,64 ,51.7 ,39 ,46 ,39.3 ,35 ,86 ,64.4 ,42 ,6 ,2.2 ,0 ,30.2 ,30.1 ,30.1 ,0.00 
30 ,61 ,51.6 ,44 ,48 ,44.2 ,40 ,94 ,77.4 ,46 ,14 ,3.8 ,0 ,30.1 ,30.0 ,30.0 ,0.00 
31 ,60 ,52.3 ,50 ,47 ,45.7 ,44 ,89 ,78.7 ,60 ,12 ,5.4 ,0 ,30.2 ,30.1 ,30.0 ,0.00 
